Gene.primaryIdentifier	Gene.featureType	Gene.qualifier	Gene.secondaryIdentifier	Gene.symbol	Gene.sgdAlias	Gene.featAttribute	Gene.length	Gene.chromosomeLocation.locatedOn.primaryIdentifier	Gene.locations.start	Gene.chromosomeLocation.end	Gene.chromosomeLocation.strand	Gene.geneSummary	Gene.status	Gene.organism.commonName	Gene.description
S000003887	ORF	Verified	YJR126C	VPS70	putative zinc metalloprotease	null	2436	chrX	656254	658689	-1	null	Active	null	Protein of unknown function involved in vacuolar protein sorting; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum
S000003888	ORF	Verified	YJR127C	RSF2	ZMS1	null	4143	chrX	658917	663059	-1	null	Active	null	Zinc-finger protein; involved in transcriptional control of both nuclear and mitochondrial genes, many of which specify products required for glycerol-based growth, respiration, and other functions; RSF2 has a paralog, TDA9, that arose from the whole genome duplication; relocalizes from nucleus to cytoplasm upon DNA replication stress
S000003889	ORF	Uncharacterized	YJR128W	null	null	null	360	chrX	662921	663280	1	null	Active	null	Putative protein of unknown function; conserved among S. cerevisiae strains; partially overlaps the verified ORF RSF2
S000003890	ORF	Verified	YJR129C	EFM3	protein-lysine N-methyltransferase	null	1020	chrX	664000	665019	-1	null	Active	null	S-adenosylmethionine-dependent methyltransferase; seven-beta-strand lysine methyltransferase which trimethylates translation elongation factor EF2 (Eft1p and Eft2p) at lysine 509; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; ortholog of human gene FAM86A
S000003891	ORF	Verified	YJR130C	STR2	cystathionine gamma-synthase	null	1920	chrX	665218	667137	-1	null	Active	null	Cystathionine gamma-synthase, converts cysteine into cystathionine; STR2 has a paralog, YML082W, that arose from the whole genome duplication
S000003892	ORF	Verified	YJR131W	MNS1	mannosyl-oligosaccharide 1,2-alpha-mannosidase	null	1650	chrX	667644	669293	1	null	Active	null	Alpha-1,2-mannosidase; involved in ER-associated protein degradation (ERAD); catalyzes the removal of one mannose residue from a glycosylated protein, converting the modification from Man9GlcNAc to Man8GlcNAc; catalyzes the last step in glycoprotein maturation in the ER and is critical for ER protein degradation
S000003893	ORF	Verified	YJR132W	NMD5	KAP119	null	3147	chrX	669522	672668	1	null	Active	null	Karyopherin; a carrier protein involved in nuclear import of proteins; importin beta homolog
S000003894	ORF	Verified	YJR133W	XPT1	xanthine phosphoribosyltransferase	null	630	chrX	672991	673620	1	null	Active	null	Xanthine-guanine phosphoribosyl transferase; required for xanthine utilization and for optimal utilization of guanine
S000003895	ORF	Verified	YJR134C	SGM1	null	null	2124	chrX	673729	675852	-1	null	Active	null	Protein of unknown function; required for wild-type growth rate on galactose and mannose; localizes to COPI coated vesicles and the Golgi apparatus
S000003896	ORF	Verified	YJR135C	MCM22	null	null	720	chrX	676059	676778	-1	null	Active	null	Outer kinetochore protein and component of the Ctf3 subcomplex; binds to centromeric DNA in a Ctf19p-dependent manner; involved in chromosome segregation and minichromosome maintenance; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-K and fission yeast sim4
S000003897	ORF	Verified	YJR136C	TTI2	null	null	1266	chrX	677441	678706	-1	null	Active	null	Subunit of the ASTRA complex, involved in chromatin remodeling; telomere length regulator involved in the stability or biogenesis of PIKKs such as TORC1; involved in the cellular stress response; similar to S. pombe Tti2p; may interact with Rsm23p; GFP-fusion protein localizes to the cytoplasm
S000003898	ORF	Verified	YJR137C	MET5	ECM17 sulfite reductase (NADPH) subunit beta	null	4329	chrX	678957	683285	-1	null	Active	null	Sulfite reductase beta subunit; involved in amino acid biosynthesis, transcription repressed by methionine
S000003899	ORF	Verified	YJR138W	IML1	SEA1	null	4755	chrX	684567	689321	1	null	Active	null	GTPase-activating protein (GAP) subunit of the Iml1p/SEACIT complex; SEACIT (Iml1p-Npr2p-Npr3p) is a subcomplex of the SEA complex, a coatomer-related complex that associates dynamically with the vacuole; Iml1p functions in the SEACIT complex as a GAP for the Rag family GTPase Gtr1p (EGOC subunit), resulting in the inhibition of TORC1 signaling in response to amino acid deprivation; the Iml1p/SEACIT complex is required for non-nitrogen-starvation (NNS)-induced autophagy
S000003900	ORF	Verified	YJR139C	HOM6	homoserine dehydrogenase THR6	null	1080	chrX	689445	690524	-1	null	Active	null	Homoserine dehydrogenase (L-homoserine:NADP oxidoreductase); dimeric enzyme that catalyzes the third step in the common pathway for methionine and threonine biosynthesis; enzyme has nucleotide-binding, dimerization and catalytic regions
S000003901	ORF	Verified	YJR140C	HIR3	HPC1	null	4947	chrX	690750	695696	-1	null	Active	null	Subunit of the HIR complex; a nucleosome assembly complex involved in regulation of histone gene transcription; involved in position-dependent gene silencing and nucleosome reassembly; ortholog of human CABIN1 protein
S000003902	ORF	Verified	YJR141W	IPA1	putative polyadenylation protein	null	1044	chrX	695906	696949	1	null	Active	null	Protein implicated in pre-mRNA processing and proteasomal degradation; interacts physically and genetically with mRNA cleavage and polyadenylation factors; mutant is impaired in pre-mRNA cleavage and polyadenylation; associates with several Ub-conjugating enzymes and alters Ub-mediated proteasome activity; localizes to both the nucleus and cytosol; HECT_2 domain containing protein homologous to human ubiquitin-protein ligase, UBE3D, a gene implicated in age-related macular degeneration
S000003903	ORF	Verified	YJR142W	null	null	null	1029	chrX	697141	698169	1	null	Active	null	8-oxo-dGTP diphosphatase of the Nudix hydrolase family; converts diphosphates of damaged forms of thiamin to monophosphates; GST fusion protein is a Dbf2p-Mob1p phosphorylation target in a proteome chip analysis; synthetic lethal with PH085 deletion; plays a role in restricting Ty1 transposition
S000003904	ORF	Verified	YJR143C	PMT4	dolichyl-phosphate-mannose-protein mannosyltransferase	null	2289	chrX	698326	700614	-1	null	Active	null	Protein O-mannosyltransferase; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; appears to form homodimers in vivo and does not complex with other Pmt proteins; target for new antifungals
S000003905	ORF	Verified	YJR144W	MGM101	MGM9	null	810	chrX	700882	701691	1	null	Active	null	Protein with a role in mitochondrial DNA recombinational repair; also involved in interstrand cross-link repair; binds to and catalyzes the annealing of single-stranded mtDNA; oligomerizes to form rings and filaments; related to Rad52-type recombination proteins, with limited overall similarity but sharing conserved functionally important residues; component of the mitochondrial nucleoid, required for the repair of oxidative mtDNA damage and mitochondrial genome maintenance
S000003906	ORF	Verified	YJR145C	RPS4A	eS4 ribosomal 40S subunit protein S4A rp5 S4A S4e S7A YS6	null	1042	chrX	702027	703068	-1	null	Active	null	Protein component of the small (40S) ribosomal subunit; mutation affects 20S pre-rRNA processing; homologous to mammalian ribosomal protein S4, no bacterial homolog; RPS4A has a paralog, RPS4B, that arose from the whole genome duplication
S000003907	ORF	Uncharacterized	YJR146W	null	null	null	354	chrX	703885	704238	1	null	Active	null	Protein of unknown function; expressed at both mRNA and protein levels; partially overlaps HMS2
S000003908	ORF	Verified	YJR147W	HMS2	null	null	1077	chrX	704196	705272	1	null	Active	null	Protein with similarity to heat shock transcription factors; overexpression suppresses the pseudohyphal filamentation defect of a diploid mep1 mep2 homozygous null mutant; HMS2 has a paralog, SKN7, that arose from the whole genome duplication
S000003909	ORF	Verified	YJR148W	BAT2	branched-chain-amino-acid transaminase BAT2 ECA40 TWT2	null	1131	chrX	705744	706874	1	null	Active	null	Cytosolic branched-chain amino acid (BCAA) aminotransferase; preferentially involved in BCAA catabolism; homolog of murine ECA39; highly expressed during stationary phase and repressed during logarithmic phase; BAT2 has a paralog, BAT1, that arose from the whole genome duplication
S000003910	ORF	Uncharacterized	YJR149W	null	putative nitronate monooxygenase	null	1215	chrX	707160	708374	1	null	Active	null	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm
S000003911	ORF	Verified	YJR150C	DAN1	CCW13	null	897	chrX	708811	709707	-1	null	Active	null	Cell wall mannoprotein; has similarity to Tir1p, Tir2p, Tir3p, and Tir4p; expressed under anaerobic conditions, completely repressed during aerobic growth
S000003912	ORF	Verified	YJR151C	DAN4	null	null	3486	chrX	712255	715740	-1	null	Active	null	Cell wall mannoprotein; has similarity to Tir1p, Tir2p, Tir3p, and Tir4p; expressed under anaerobic conditions, completely repressed during aerobic growth
S000003913	ORF	Verified	YJR152W	DAL5	allantoate permease UREP1	null	1632	chrX	719666	721297	1	null	Active	null	Allantoate permease; ureidosuccinate permease; also transports dipeptides, though with lower affinity than for allantoate and ureidosuccinate; expression is constitutive but sensitive to nitrogen catabolite repression
S000003914	ORF	Verified	YJR153W	PGU1	PGL1 PSM1	null	1086	chrX	722815	723900	1	null	Active	null	Endo-polygalacturonase; pectolytic enzyme that hydrolyzes the alpha-1,4-glycosidic bonds in the rhamnogalacturonan chains in pectins
S000003915	ORF	Uncharacterized	YJR154W	null	null	null	1041	chrX	725784	726824	1	null	Active	null	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm
S000003916	ORF	Verified	YJR155W	AAD10	putative aryl-alcohol dehydrogenase	null	867	chrX	727405	728271	1	null	Active	null	Putative aryl-alcohol dehydrogenase; similar to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role; members of the AAD gene family comprise three pairs (AAD3 + AAD15, AAD6/AAD16 + AAD4, AAD10 + AAD14) whose two genes are more related to one another than to other members of the family
S000003917	ORF	Verified	YJR156C	THI11	4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase	null	1023	chrX	728574	729596	-1	null	Active	null	Protein involved in synthesis of the thiamine precursor HMP; member of a subtelomeric gene family including THI5, THI11, THI12, and THI13; hydroxymethylpyrimidine is also known as HMP
S000003918	ORF	Dubious	YJR157W	null	null	null	363	chrX	730515	730877	1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
S000003919	ORF	Verified	YJR158W	HXT16	hexose transporter HXT16 HLT3	null	1704	chrX	732440	734143	1	null	Active	null	Putative transmembrane polyol transporter; supports growth on and uptake of sorbitol with moderate affinity and mannitol with lower affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; similarity to hexose transporters; expression is repressed by high levels of glucose
S000003920	ORF	Verified	YJR159W	SOR1	L-iditol 2-dehydrogenase SOR1 SDH1	null	1074	chrX	736044	737117	1	null	Active	null	Sorbitol dehydrogenase; protein sequence is 99% identical to the Sor2p sorbitol dehydrogenase; expression is induced in the presence of sorbitol or xylose
S000003921	ORF	Verified	YJR160C	MPH3	alpha-glucoside permease	null	1809	chrX	738008	739816	-1	null	Active	null	Alpha-glucoside permease; transports maltose, maltotriose, alpha-methylglucoside, and turanose; identical to Mph2p; encoded in a subtelomeric position in a region likely to have undergone duplication
S000003922	ORF	Verified	YJR161C	COS5	null	null	1152	chrX	742848	743999	-1	null	Active	null	Endosomal protein involved in turnover of plasma membrane proteins; member of the DUP380 subfamily of conserved, often subtelomeric COS genes; required for the multivesicular vesicle body sorting pathway that internalizes plasma membrane proteins for degradation; Cos proteins provide ubiquitin in trans for nonubiquitinated cargo proteins
S000003923	ORF	Dubious	YJR162C	null	null	null	351	chrX	744911	745261	-1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
S000003924	ORF	Verified	YLL001W	DNM1	dynamin-related GTPase DNM1	null	2274	chrXII	147890	150163	1	null	Active	null	Dynamin-related GTPase involved in mitochondrial organization; required for mitochondrial fission and inheritance; self assembles on the cytoplasmic face of mitochondrial tubules at sites where division will occur; participates in endocytosis and regulates peroxisome fission along with Vps1p; mutants in the human ortholog DNM1L, which mediates mitochondrial fission, peroxisomal division, autophagy, and mitophagy, are associated with slowly progressive infantile encephalopathy
S000003925	ORF	Verified	YLL002W	RTT109	H3 histone acetyltransferase RTT109 KAT11 KIM2 REM50	null	1311	chrXII	146291	147601	1	null	Active	null	Histone acetyltransferase; critical for cell survival in presence of DNA damage during S phase, required for recovery after DSB repair; acetylates H3K56, H3K9; H3K56 acetylation activity required for expression homeostasis, buffering of mRNA synthesis rate against changes in gene dosage during S phase; involved in non-homologous end joining and regulation of Ty1 transposition; prevents hyper-amplification of rDNA; interacts physically with Vps75p
S000003926	ORF	Verified	YLL003W	SFI1	null	null	2841	chrXII	143201	146041	1	null	Active	null	Centrin (Cdc31p)-binding protein required for SPB duplication; localizes to the half-bridge of the spindle pole body (SPB); required for progression through G(2)-M transition; phosphorylated by Cdc28p-Clb2p and by Cdc5p; dephosphorylated by Cdc14p; has similarity to Xenopus laevis XCAP-C
S000003927	ORF	Verified	YLL004W	ORC3	origin recognition complex subunit 3	null	1851	chrXII	141073	142923	1	null	Active	null	Subunit of the origin recognition complex (ORC); ORC directs DNA replication by binding to replication origins and is also involved in transcriptional silencing
S000003928	ORF	Verified	YLL005C	SPO75	null	null	2607	chrXII	137940	140546	-1	null	Active	null	Meiosis-specific protein of unknown function; required for spore wall formation during sporulation; dispensable for both nuclear divisions during meiosis
S000003929	ORF	Verified	YLL006W	MMM1	ERMES complex subunit MMM1 YME6	null	1281	chrXII	136586	137866	1	null	Active	null	ER integral membrane protein, ERMES complex subunit; ERMES links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; required for mitophagy; ERMES complex is often co-localized with peroxisomes and with concentrated areas of pyruvate dehydrogenase
S000003930	ORF	Verified	YLL007C	LMO1	null	null	1998	chrXII	134302	136299	-1	null	Active	null	Homolog of mammalian ELMO (Engulfment and celL MOtility); upstream component for regulation through the small GTPase Rho5p; may form a complex with Dck1p that acts as a GEF for Rho5p; cytoplasmic protein that relocates to mitochondria under oxidative stress; implicated in mitophagy; not an essential protein
S000003931	ORF	Verified	YLL008W	DRS1	putative ATP-dependent RNA helicase	null	2259	chrXII	131729	133987	1	null	Active	null	Nucleolar DEAD-box protein required for ribosome assembly and function; including synthesis of 60S ribosomal subunits; constituent of 66S pre-ribosomal particles
S000003932	ORF	Verified	YLL009C	COX17	copper metallochaperone COX17	null	210	chrXII	131205	131414	-1	null	Active	null	Copper metallochaperone that transfers copper to Sco1p and Cox11p; eventual delivery to cytochrome c oxidase; contains twin cysteine-x9-cysteine motifs; interacts with the MICOS complex, and interaction is promoted by copper ions; human homolog COX17 partially complements yeast null mutant
S000003933	ORF	Verified	YLL010C	PSR1	phosphatase	null	1284	chrXII	129330	130613	-1	null	Active	null	Plasma membrane associated protein phosphatase; involved in the general stress response and inactivating dephosphorylation of Mep2p; required along with binding partner Whi2p for full activation of STRE-mediated gene expression, possibly through dephosphorylation of Msn2p; PSR1 has a paralog, PSR2, that arose from the whole genome duplication
S000003934	ORF	Verified	YLL011W	SOF1	rRNA-processing protein SOF1	null	1470	chrXII	127523	128992	1	null	Active	null	Protein required for biogenesis of 40S (small) ribosomal subunit; has similarity to the beta subunit of trimeric G-proteins and the splicing factor Prp4p; essential gene
S000003935	ORF	Verified	YLL012W	YEH1	sterol esterase	null	1722	chrXII	125534	127255	1	null	Active	null	Steryl ester hydrolase; one of three gene products (Yeh1p, Yeh2p, Tgl1p) responsible for steryl ester hydrolase activity and involved in sterol homeostasis; localized to lipid particle membranes; YEH1 has a paralog, YEH2, that arose from the whole genome duplication
S000003936	ORF	Verified	YLL013C	PUF3	mRNA-binding protein PUF3	null	2640	chrXII	122075	124714	-1	null	Active	null	Protein of the mitochondrial outer surface; links the Arp2/3 complex with the mitochore during anterograde mitochondrial movement; also binds to and promotes degradation of mRNAs for select nuclear-encoded mitochondrial proteins
S000003937	ORF	Verified	YLL014W	EMC6	null	null	327	chrXII	121322	121648	1	null	Active	null	Member of conserved ER transmembrane complex; required for efficient folding of proteins in the ER; null mutant displays induction of the unfolded protein response; homologous to worm F33D4.7/EMC-6, fly CG11781, human TMEM93
S000003938	ORF	Verified	YLL015W	BPT1	ATP-binding cassette bilirubin transporter BPT1	null	4680	chrXII	116432	121111	1	null	Active	null	ABC type transmembrane transporter of MRP/CFTR family; found in vacuolar membrane, involved in the transport of unconjugated bilirubin and in heavy metal detoxification via glutathione conjugates, along with Ycf1p
S000003941	ORF	Verified	YLL018C	DPS1	aspartate--tRNA ligase DPS1 AspRS	null	1674	chrXII	109902	111575	-1	null	Active	null	Aspartyl-tRNA synthetase, primarily cytoplasmic; homodimeric enzyme that catalyzes the specific aspartylation of tRNA(Asp); class II aminoacyl tRNA synthetase; binding to its own mRNA may confer autoregulation; shares five highly conserved amino acids with human that when mutated cause leukoencephalopathy characterized by hypomyelination with brain stem and spinal cord involvement and leg spasticity (HBSL)
S000003942	ORF	Verified	YLL019C	KNS1	L124 serine/threonine protein kinase KNS1	null	2214	chrXII	105686	107899	-1	null	Active	null	Protein kinase involved in negative regulation of PolIII transcription; effector kinase of the TOR signaling pathway and phosphorylates Rpc53p to regulate ribosome and tRNA biosynthesis; member of the LAMMER family of protein kinases, which are serine/threonine kinases also capable of phosphorylating tyrosine residues; capable of autophosphorylation
S000003943	ORF	Dubious	YLL020C	null	null	null	306	chrXII	105556	105861	-1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene KNS1
S000003944	ORF	Verified	YLL021W	SPA2	FUS6 PEA1 PPF1	null	4401	chrXII	100947	105347	1	null	Active	null	Component of the polarisome; functions in actin cytoskeletal organization during polarized growth; acts as a scaffold for Mkk1p and Mpk1p cell wall integrity signaling components; potential Cdc28p substrate; coding sequence contains length polymorphisms in different strains; SPA2 has a paralog, SPH1, that arose from the whole genome duplication
S000003945	ORF	Verified	YLL022C	HIF1	null	null	1158	chrXII	99044	100201	-1	null	Active	null	Non-essential component of the HAT-B histone acetyltransferase complex; localized to the nucleus; has a role in telomeric silencing; other members are Hat1p and Hat2p
S000003946	ORF	Verified	YLL023C	POM33	nucleoporin POM33	null	840	chrXII	97997	98836	-1	null	Active	null	Transmembrane nucleoporin; involved in nuclear pore complex (NPC) distribution, assembly or stabilization; highly conserved across species, orthologous to human TMEM33 and paralogous to Per33p; protein abundance increases in response to DNA replication stress
S000003947	ORF	Verified	YLL024C	SSA2	Hsp70 family chaperone SSA2 YG102	null	1920	chrXII	95566	97485	-1	null	Active	null	HSP70 family ATP-binding protein; involved in protein folding, vacuolar import of proteins; required for ubiquitin-dependent degradation of short-lived proteins; associated with chaperonin-containing T-complex; 98% identical to paralog Ssa1p with distinct functional specificity in propagation of yeast [URE3] prions and vacuolar-mediated degradation of gluconeogenesis enzymes; binds tRNA, has role in tRNA nuclear import during starvation
S000003948	ORF	Verified	YLL025W	PAU17	seripauperin PAU17	null	375	chrXII	94747	95121	1	null	Active	null	Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions; SWAT-GFP and mCherry fusion proteins localize to the vacuole; YLL025W is not an essential gene
S000003949	ORF	Verified	YLL026W	HSP104	chaperone ATPase HSP104	null	2727	chrXII	88623	91349	1	null	Active	null	Disaggregase; heat shock protein that cooperates with Ydj1p (Hsp40) and Ssa1p (Hsp70) to refold and reactivate previously denatured, aggregated proteins; responsive to stresses including: heat, ethanol, and sodium arsenite; involved in [PSI+] propagation; protein becomes more abundant and forms cytoplasmic foci in response to DNA replication stress; potentiated Hsp104p variants decrease TDP-43 proteotoxicity by eliminating its cytoplasmic aggregation
S000003950	ORF	Verified	YLL027W	ISA1	Fe-binding Fe/S cluster assembly protein ISA1	null	753	chrXII	87403	88155	1	null	Active	null	Protein required for maturation of mitochondrial [4Fe-4S] proteins; functions in a complex with Isa2p and possibly Iba57p; isa1 deletion causes loss of mitochondrial DNA and respiratory deficiency; depletion reduces growth on nonfermentable carbon sources; functional ortholog of bacterial A-type ISC proteins; human ISCA1 can complement isa1 null mutant
S000003951	ORF	Verified	YLL028W	TPO1	null	null	1761	chrXII	84804	86564	1	null	Active	null	Polyamine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; recognizes spermine, putrescine, and spermidine; catalyzes uptake of polyamines at alkaline pH and excretion at acidic pH; during oxidative stress exports spermine, spermidine from the cell, which controls timing of expression of stress-responsive genes; phosphorylation enhances activity and sorting to the plasma membrane
S000003952	ORF	Verified	YLL029W	FRA1	RUP2	null	2250	chrXII	81461	83710	1	null	Active	null	Protein involved in negative regulation of iron regulon transcription; forms an iron independent complex with Fra2p, Grx3p, and Grx4p; cytosolic; mutant fails to repress transcription of iron regulon and is defective in spore formation
S000003953	ORF	Uncharacterized	YLL030C	RRT7	null	null	342	chrXII	80356	80697	-1	null	Active	null	Putative protein of unknown function; conserved across S. cerevisiae strains; identified in a screen for mutants with increased levels of rDNA transcription
S000003954	ORF	Verified	YLL031C	GPI13	mannose-ethanolamine phosphotransferase GPI13 MPC1	null	3054	chrXII	77152	80205	-1	null	Active	null	ER membrane localized phosphoryltransferase; adds phosphoethanolamine onto the third mannose residue of the glycosylphosphatidylinositol (GPI) anchor precursor; similar to human PIG-O protein
S000003955	ORF	Verified	YLL032C	null	null	null	2478	chrXII	74270	76747	-1	null	Active	null	Protein of unknown function; may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YLL032C is not an essential gene
S000003956	ORF	Verified	YLL033W	IRC19	GON2 RRG4	null	693	chrXII	73409	74101	1	null	Active	null	Protein of unknown function; YLL033W is not an essential gene but mutant is defective in spore formation; null mutant displays increased levels of spontaneous Rad52p foci
S000003957	ORF	Verified	YLL034C	RIX7	putative AAA family ATPase RIX7	null	2514	chrXII	70633	73146	-1	null	Active	null	Putative ATPase of the AAA family; required for export of pre-ribosomal large subunits from the nucleus; distributed between the nucleolus, nucleoplasm, and nuclear periphery depending on growth conditions
S000003958	ORF	Verified	YLL035W	GRC3	polynucleotide 5'-hydroxyl-kinase	null	1899	chrXII	68580	70478	1	null	Active	null	Polynucleotide kinase present on rDNA; required for efficient transcription termination by RNA polymerase I; functions with Las1p in a conserved mechanism to modulate rRNA processing and ribosome biogenesis; required for cell growth; mRNA is cell-cycle regulated
S000003959	ORF	Verified	YLL036C	PRP19	E3 ubiquitin-protein ligase PRP19 PSO4	null	1512	chrXII	66745	68256	-1	null	Active	null	Splicing factor associated with the spliceosome; contains a U-box, a motif found in a class of ubiquitin ligases, and a WD40 domain; relocalizes to the cytosol in response to hypoxia
S000003960	ORF	Dubious	YLL037W	null	null	null	381	chrXII	66562	66942	1	null	Active	null	Dubious open reading frame unlikely to encode a functional protein; overlaps 3' end of essential PRP19 gene encoding an RNA splicing factor
S000003961	ORF	Verified	YLL038C	ENT4	null	null	744	chrXII	65775	66518	-1	null	Active	null	Protein of unknown function; contains an N-terminal epsin-like domain; proposed to be involved in the trafficking of Arn1p in the absence of ferrichrome
S000003962	ORF	Verified	YLL039C	UBI4	SCD2 UB14 ubiquitin	null	1146	chrXII	64062	65207	-1	null	Active	null	Ubiquitin; becomes conjugated to proteins, marking them for selective degradation via the ubiquitin-26S proteasome system; essential for the cellular stress response; encoded as a polyubiquitin precursor comprised of 5 head-to-tail repeats; protein abundance increases in response to DNA replication stress
S000003963	ORF	Verified	YLL040C	VPS13	membrane morphogenesis protein VPS13 SOI1 VPT2	null	9435	chrXII	54211	63645	-1	null	Active	null	Protein involved in prospore membrane morphogenesis; peripheral membrane protein that localizes to the prospore membrane and at numerous membrane contact sites; involved in sporulation, vacuolar protein sorting, prospore membrane formation during sporulation, and protein-Golgi retention; required for mitochondrial integrity; contains a PH-like domain; homologous to human CHAC and COH1 which are involved in Chorea-acanthocytosis and Cohen syndrome, respectively
S000003964	ORF	Verified	YLL041C	SDH2	ACN17 SDHB succinate dehydrogenase iron-sulfur protein subunit SDH2	null	801	chrXII	53131	53931	-1	null	Active	null	Iron-sulfur protein subunit of succinate dehydrogenase; the complex couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; other members are Sdh1p, Sdh3p, and Sdh4p
S000003965	ORF	Verified	YLL042C	ATG10	APG10 E2-like conjugating enzyme	null	504	chrXII	52087	52590	-1	null	Active	null	Conserved E2-like conjugating enzyme; mediates formation of the Atg12p-Atg5p conjugate, which is a critical step in autophagy
S000003966	ORF	Verified	YLL043W	FPS1	null	null	2010	chrXII	49938	51947	1	null	Active	null	Aquaglyceroporin, plasma membrane channel; involved in efflux of glycerol and xylitol, and in uptake of acetic acid, arsenite, and antimonite; key factor in maintaining redox balance by mediating passive diffusion of glycerol; phosphorylated by Hog1p MAPK under acetate stress; deletion improves xylose fermentation; regulated by Rgc1p and Ask10p, which are regulated by Hog1p phosphorylation under osmotic stress; phosphorylation by Ypk1p required to maintain an open state
S000003967	ORF	Dubious	YLL044W	null	null	null	447	chrXII	48216	48662	1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; transcription of both YLL044W and the overlapping gene RPL8B is reduced in the gcr1 null mutant
S000003968	ORF	Verified	YLL045C	RPL8B	eL8 KRB1 L4B L8B L8e ribosomal 60S subunit protein L8B rp6 SCL41 YL5	null	771	chrXII	47859	48629	-1	null	Active	null	Ribosomal 60S subunit protein L8B; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; L8 binds to Domain I of 25S and 5.8 S rRNAs; mutation results in decreased amounts of free 60S subunits; homologous to mammalian ribosomal protein L7A, no bacterial homolog; RPL8B has a paralog, RPL8A, that arose from the whole genome duplication
S000003969	ORF	Verified	YLL046C	RNP1	null	null	750	chrXII	46714	47463	-1	null	Active	null	Ribonucleoprotein that contains two RNA recognition motifs (RRM); RNP1 has a paralog, SBP1, that arose from the whole genome duplication
S000003970	ORF	Dubious	YLL047W	null	null	null	384	chrXII	46672	47055	1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene RNP1
S000003971	ORF	Verified	YLL048C	YBT1	BAT1 bile acid-transporting ATPase YBT1	null	4986	chrXII	41280	46265	-1	null	Active	null	Transporter of the ATP-binding cassette (ABC) family; involved in bile acid transport; negative regulator of vacuole fusion; regulates release of lumenal Ca2+ stores; similar to mammalian bile transporters; YBT1 has a paralog, VMR1, that arose from the whole genome duplication
S000003972	ORF	Verified	YLL049W	LDB18	null	null	540	chrXII	40666	41205	1	null	Active	null	Component of the dynactin complex; dynactin is required for dynein activity; null mutant exhibits defects in nuclear migration and spindle orientation and has reduced affinity for alcian blue dye; has homology to mammalian dynactin subunit p24
S000003973	ORF	Verified	YLL050C	COF1	cofilin	null	611	chrXII	39804	40414	-1	null	Active	null	Cofilin, involved in pH-dependent actin filament depolarization; binds both actin monomers and filaments and severs filaments; involved in the selective sorting, export of the secretory cargo from the late golgi; genetically interacts with pmr1; thought to be regulated by phosphorylation at SER4; ubiquitous and essential in eukaryotes
S000003974	ORF	Verified	YLL051C	FRE6	putative ferric-chelate reductase	null	2139	chrXII	37333	39471	-1	null	Active	null	Putative ferric reductase with similarity to Fre2p; expression induced by low iron levels
S000003975	ORF	Verified	YLL052C	AQY2	null	null	450	chrXII	35912	36361	-1	null	Active	null	Water channel that mediates water transport across cell membranes; only expressed in proliferating cells; controlled by osmotic signals; may be involved in freeze tolerance; disrupted by a stop codon in many S. cerevisiae strains
S000003976	ORF	Uncharacterized	YLL053C	null	null	null	459	chrXII	35503	35961	-1	null	Active	null	Putative protein; in the Sigma 1278B strain background YLL053C is contiguous with AQY2 which encodes an aquaporin
S000003977	ORF	Uncharacterized	YLL054C	null	null	null	2532	chrXII	32673	35204	-1	null	Active	null	Putative protein of unknown function with similarity to Pip2p; an oleate-specific transcriptional activator of peroxisome proliferation; YLL054C is not an essential gene
S000003978	ORF	Verified	YLL055W	YCT1	null	null	1596	chrXII	30109	31704	1	null	Active	null	High-affinity cysteine-specific transporter; has similarity to the Dal5p family of transporters; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YCT1 is not an essential gene
